scientific_name	count	max_intra	min_inter
Abroscopus albogularis	1		0.1103999987244606
Abroscopus superciliaris	1		0.1103999987244606
Accipiter bicolor	2	0.0015529999509453773	0.07751999795436859
Accipiter castanilius	1		0.001534000039100647
Accipiter gularis	1		0.089369997382164
Accipiter poliogaster	1		0.09006000310182571
Accipiter striatus	1		0.09317000210285187
Accipiter superciliosus	4	0.0	0.08229999989271164
Accipiter tachiro	2	0.0	0.001534000039100647
Acridotheres cristatellus	1		0.06143999844789505
Acrocephalus aedon	3	0.0039450000040233135	0.11089999973773956
Actenoides lindsayi	3	0.0015360000543296337	0.11060000211000443
Actinodura egertoni	1		0.10429999977350235
Aechmophorus clarkii	1		0.0
Aechmophorus occidentalis	2	0.0	0.0
Aegithina tiphia	3	0.001534000039100647	0.11289999634027481
Aegotheles cristatus	3	0.0	0.12269999831914902
Aerodramus vanikorensis	1		0.035659998655319214
Aerodramus whiteheadi	1		0.035659998655319214
Aeronautes andecolus	1		0.08281999826431274
Aethopyga ignicauda	2	0.0	0.0986500009894371
Aethopyga nipalensis	2	0.0030670000705868006	0.0995199978351593
Aethopyga saturata	3	0.001534000039100647	0.1005999967455864
Agamia agami	2	0.0	0.10890000313520432
Agelaius tricolor	1		0.0628800019621849
Aimophila ruficeps	1		0.052149999886751175
Alcedo azurea	1		0.019940000027418137
Alcedo cyanopectus	2	0.0	0.054260000586509705
Alcedo leucogaster	3	0.001534000039100647	0.1103999987244606
Alcedo quadribrachys	3	0.001534000039100647	0.1103999987244606
Alcedo websteri	3	0.0015360000543296337	0.019940000027418137
Alcippe brunnea	2	0.006134999915957451	0.11810000240802765
Alcippe castaneceps	3	0.0030670000705868006	0.13040000200271606
Alcippe cinerea	2	0.0	0.1242000013589859
Alcippe cinereiceps	2	0.001534000039100647	0.07055000215768814
Alcippe morrisonia	3	0.006134999915957451	0.08436000347137451
Alcippe poioicephala	3	0.0030670000705868006	0.08436000347137451
Alcippe rufogularis	2	0.001534000039100647	0.12120000272989273
Alcippe vinipectus	2	0.001534000039100647	0.07055000215768814
Alectura lathami	1		0.15800000727176666
Alethe castanea	7	0.015359999611973763	0.1120000034570694
Alethe poliocephala	3	0.004600999876856804	0.10790000110864639
Alophoixus flaveolus	3	0.0015360000543296337	0.10429999977350235
Alopochelidon fucata	3	0.004902000073343515	0.09000000357627869
Amaurolimnas concolor	2	0.0	0.08436000347137451
Amazilia amabilis	3	0.001534000039100647	0.08217000216245651
Amazilia edward	1		0.020250000059604645
Amazilia fimbriata	3	0.001534000039100647	0.04961000010371208
Amazilia handleyi	3	0.0016029999824240804	0.0030670000705868006
Amazilia leucogaster	4	0.004701999947428703	0.004621999803930521
Amazilia tzacatl	3	0.0030670000705868006	0.0030670000705868006
Amazilia versicolor	2	0.0	0.004621999803930521
Amazilia viridigaster	1		0.020250000059604645
Amazona amazonica	1		0.023010000586509705
Amazona autumnalis	2	0.0	0.04293999820947647
Amazona dufresniana	2	0.0	0.03988000005483627
Amazona farinosa	3	0.0030670000705868006	0.03988000005483627
Amazona guildingii	1		0.023010000586509705
Amazona ochrocephala	3	0.017079999670386314	0.04969000071287155
Amblycercus holosericeus	2	0.0	0.08051999658346176
Amblyramphus holosericeus	1		0.07165999710559845
Anabacerthia variegaticeps	1		0.08742000162601471
Anabathmis reichenbachii	3	0.0	0.10580000281333923
Anas bahamensis	2	0.0	0.05827999860048294
Anas gibberifrons	1		0.04293999820947647
Anas poecilorhyncha	2	0.0015360000543296337	0.04293999820947647
Andropadus curvirostris	1		0.11349999904632568
Andropadus gracilis	1		0.10429999977350235
Andropadus latirostris	3	0.004608000162988901	0.001534000039100647
Andropadus latirostris latirostris	1		0.001534000039100647
Anous minutus	1		0.001534000039100647
Anous stolidus	3	0.0030670000705868006	0.08128999918699265
Anous tenuirostris	3	0.0016370000084862113	0.001534000039100647
Anthochaera carunculata	1		0.11739999800920486
Anthracothorax nigricollis	2	0.0	0.063960000872612
Anthracothorax prevostii	2	0.0	0.0030670000705868006
Anthracothorax prevostii gracillirostris	1		0.0
Anthracothorax veraguensis	3	0.0031900000758469105	0.0
Anthreptes seimundi	3	0.001597000053152442	0.07822000235319138
Anthropoides virgo	1		0.052149999886751175
Anthus correndera	2	0.001534000039100647	0.065140001475811
Anthus furcatus	1		0.07208999991416931
Anthus gustavi	2	0.0019229999743402004	0.06922999769449234
Anthus hellmayri	1		0.065140001475811
Anthus lutescens	1		0.07117000222206116
Anumbius annumbi	1		0.11320000141859055
Anurolimnas viridis	2	0.018239999189972878	0.09356000274419785
Aphelocoma californica	3	0.007116999942809343	0.09815999865531921
Aplonis metallica	3	0.001534000039100647	0.09815999865531921
Aprosmictus erythropterus	1		0.07361999899148941
Ara ararauna	1		0.05824999883770943
Ara macao	1		0.059870000928640366
Ara severus	1		0.05824999883770943
Arachnothera longirostra	1		0.11209999769926071
Arachnothera magna	1		0.11800000071525574
Aramides ypecaha	1		0.09201999753713608
Aratinga solstitialis	1		0.08895999938249588
Ardea cocoi	2	0.0030670000705868006	0.10580000281333923
Arremon aurantiirostris	3	0.0031010000966489315	0.055560000240802765
Arremon brunneinucha	3	0.001534000039100647	0.07669000327587128
Arremon crassirostris	2	0.0	0.0
Arremon taciturnus	4	0.0031300000846385956	0.001534000039100647
Arremon taciturnus taciturnus	1		0.001534000039100647
Arremonops conirostris	3	0.006298999767750502	0.07558999955654144
Arundinicola leucocephala	3	0.004608000162988901	0.11349999904632568
Asio stygius	1		0.08436000347137451
Atalotriccus pilaris	1		0.05415999889373779
Athene noctua	2	0.0	0.16099999845027924
Atlapetes personatus	3	0.004600999876856804	0.052149999886751175
Atticora fasciata	2	0.001534000039100647	0.0933300033211708
Atticora melanoleuca	1		0.07208999991416931
Attila cinnamomeus	4	0.010639999993145466	0.09356000274419785
Attila spadiceus	3	0.009201999753713608	0.09356000274419785
Aulacorhynchus derbianus	3	0.0031300000846385956	0.0688600018620491
Aulacorhynchus prasinus	3	0.0030670000705868006	0.0688600018620491
Automolus infuscatus	4	0.09048999845981598	0.07514999806880951
Automolus roraimae	4	0.001534000039100647	0.037209998816251755
Automolus rubiginosus	3	0.0	0.10429999977350235
Automolus rufipileatus	4	0.017079999670386314	0.09048999845981598
Aviceda subcristata	1		0.11959999799728394
Baeolophus atricristatus	1		0.009201999753713608
Baeolophus bicolor	1		0.009201999753713608
Baeolophus inornatus	2	0.006134999915957451	0.053679998964071274
Bangsia arcaei	4	0.0	0.07332000136375427
Baryphthengus martii	3	0.033900000154972076	0.1356000006198883
Basileuterus bivittatus	2	0.001534000039100647	0.001534000039100647
Basileuterus bivittatus roraimae	1		0.001534000039100647
Basileuterus flaveolus	5	0.0016159999649971724	0.04992000013589859
Basileuterus fulvicauda	1		0.03220999985933304
Basileuterus leucoblepharus lemurum	1		0.04992000013589859
Basileuterus melanogenys	3	0.006134999915957451	0.06441999971866608
Basileuterus rivularis	6	0.0	0.03220999985933304
Basileuterus tristriatus	3	0.0030670000705868006	0.06747999787330627
Berlepschia rikeri	3	0.0	0.1282999962568283
Bleda eximius	3	0.004600999876856804	0.08895999938249588
Bleda syndactylus	3	0.004600999876856804	0.08895999938249588
Bolbopsittacus lunulatus	3	0.0	0.11060000211000443
Botaurus pinnatus	2	0.006318999920040369	0.09004999697208405
Brachygalba lugubris	3	0.044679999351501465	0.14640000462532043
Brachypteryx leucophrys	2	0.001534000039100647	0.11429999768733978
Bradypterus tacsanowskius	1		0.093019999563694
Brotogeris chrysoptera	3	0.001534000039100647	0.04447999969124794
Brotogeris jugularis	1		0.04447999969124794
Bucco capensis	2	0.001534000039100647	0.09201999753713608
Bucco tamatia	3	0.0015529999509453773	0.09245000034570694
Bucco tectus	1		0.001534000039100647
Buceros hydrocorax	1		0.12600000202655792
Bulweria bulwerii	2	0.0015750000020489097	0.10170000046491623
Burhinus bistriatus	3	0.0030670000705868006	0.12880000472068787
Busarellus nigricollis	1		0.07704000174999237
Buteo albicaudatus	1		0.04608000069856644
Buteo albonotatus	1		0.01843000017106533
Buteo nitidus	1		0.04447999969124794
Buteo solitarius	3	0.0	0.01843000017106533
Buteogallus aequinoctialis	3	0.004600999876856804	0.007668999955058098
Buteogallus anthracinus	2	0.0	0.007668999955058098
Buteogallus meridionalis	2	0.0	0.05521000176668167
Buteogallus urubitinga	1		0.03988000005483627
Butorides striata	2	0.001534000039100647	0.016370000317692757
Butorides virescens	3	0.0016370000084862113	0.016370000317692757
Cacicus cela	3	0.004600999876856804	0.05827999860048294
Cacicus haemorrhous	3	0.0	0.06880000233650208
Cacicus solitarius	1		0.08011999726295471
Cacicus uropygialis	2	0.0015899999998509884	0.05827999860048294
Cacomantis variolosus	1		0.09984999895095825
Calidris ruficollis	1		0.08589000254869461
Callipepla californica	1		0.09356000274419785
Calliphlox amethystina	3	0.007668999955058098	0.07822000235319138
Calyptorhynchus funereus	1		0.11670000106096268
Camaroptera brachyura	3	0.0017950000474229455	0.10409999638795853
Campephilus guatemalensis	2	0.001534000039100647	0.03067000024020672
Campephilus melanoleucos	2	0.004753999877721071	0.03067000024020672
Campephilus rubricollis	3	0.04382000118494034	0.042249999940395355
Campethera caroli	2	0.0	0.062300000339746475
Campethera nivosa	3	0.004600999876856804	0.062300000339746475
Camptostoma obsoletum	3	0.01843000017106533	0.093019999563694
Campylopterus hemileucurus	3	0.0	0.08436000347137451
Campylopterus hyperythrus	3	0.0016530000139027834	0.08436000347137451
Campylorhamphus procurvoides	4	0.04600999876856804	0.04447999969124794
Campylorhamphus pusillus	3	0.004600999876856804	0.04447999969124794
Campylorhynchus griseus	3	0.0030720001086592674	0.08436000347137451
Campylorhynchus turdinus	1		0.08436000347137451
Capito aurovirens	1		0.10170000046491623
Capito niger	3	0.01078999973833561	0.10170000046491623
Caprimulgus aegyptius	1		0.07460000365972519
Caprimulgus batesi	3	0.004608000162988901	0.09192000329494476
Caprimulgus carolinensis	1		0.052310001105070114
Caprimulgus europaeus	2	0.0	0.07460000365972519
Caprimulgus macrurus	5	0.10490000247955322	0.09523999691009521
Caprimulgus rufus	2	0.0015579999890178442	0.052310001105070114
Capsiempis flaveola	2	0.0030670000705868006	0.12399999797344208
Caracara plancus	1		0.08449000120162964
Cariama cristata	3	0.0030670000705868006	0.12630000710487366
Carterornis chrysomela	1		0.09356000274419785
Caryothraustes canadensis	3	0.004600999876856804	0.05164000019431114
Caryothraustes poliogaster	1		0.05164000019431114
Cathartes burrovianus	2	0.001534000039100647	0.021469999104738235
Cathartes melambrotus	4	0.001534000039100647	0.021469999104738235
Catharus frantzii	1		0.06298000365495682
Catharus fuscater	3	0.004643999971449375	0.07597000151872635
Catharus gracilirostris	3	0.0015529999509453773	0.05683999881148338
Catharus minimus	1		0.05683999881148338
Cecropis daurica	1		0.01996999979019165
Cecropis striolata	2	0.0	0.01996999979019165
Celeus brachyurus	1		0.0829399973154068
Celeus castaneus	1		0.023469999432563782
Celeus elegans	4	0.0030720001086592674	0.07667999714612961
Celeus flavus	3	0.004650999791920185	0.07406999915838242
Celeus torquatus	3	0.001560000004246831	0.07355000078678131
Celeus undatus	3	0.0031300000846385956	0.023469999432563782
Centropus anselli	1		0.07526999711990356
Centropus superciliosus	2	0.0	0.07526999711990356
Centropus unirufus	1		0.08895999938249588
Cephalopterus glabricollis	1		0.050609998404979706
Cephalopterus ornatus	3	0.001534000039100647	0.02761000022292137
Cercomacra carbonaria	2	0.0	0.009201999753713608
Cercomacra cinerascens	3	0.0	0.07361999899148941
Cercomacra laeta	3	0.001534000039100647	0.07514999806880951
Cercomacra nigrescens	3	0.001534000039100647	0.07514999806880951
Cercomacra nigricans	2	0.0	0.009201999753713608
Cercomacra tyrannina	3	0.001534000039100647	0.07514999806880951
Certhia brachydactyla	2	0.0	0.11959999799728394
Certhiaxis cinnamomeus	3	0.01092000026255846	0.09201999753713608
Cettia cetti	3	0.001534000039100647	0.1242000013589859
Ceyx lecontei	3	0.004600999876856804	0.0786999985575676
Ceyx lepidus	2	0.0	0.054260000586509705
Ceyx melanurus	2	0.0015429999912157655	0.06821999698877335
Ceyx pictus	3	0.023409999907016754	0.0786999985575676
Chaetura brachyura	3	0.006430999841541052	0.03152000159025192
Chaetura chapmani	3	0.0015429999912157655	0.03152000159025192
Chaetura cinereiventris	2	0.0	0.04293999820947647
Chaetura spinicaudus	3	0.0	0.04293999820947647
Chaimarrornis leucocephalus	1		0.10450000315904617
Chalcomitra fuliginosa	3	0.001534000039100647	0.09792999923229218
Chalcophaps indica	2	0.0	0.06615000218153
Chalcophaps stephani	1		0.06615000218153
Chalybura urochrysia	2	0.0030670000705868006	0.04447999969124794
Chamaea fasciata	1		0.11800000071525574
Chamaepetes unicolor	3	0.0030670000705868006	0.0628800019621849
Chamaeza campanisona	1		0.1363999992609024
Chauna torquata	3	0.001534000039100647	0.1429000049829483
Chelidoptera tenebrosa	3	0.004600999876856804	0.08589000254869461
Chelidorhynx hypoxanthus	1		0.1257999986410141
Chenonetta jubata	1		0.07514999806880951
Chiroxiphia pareola	3	0.003114999970421195	0.10260000079870224
Chlidonias hybridus	1		0.09356000274419785
Chloroceryle amazona	2	0.0	0.09019999951124191
Chloroceryle inda	4	0.0030670000705868006	0.09019999951124191
Chlorophonia cyanea	1		0.1023000031709671
Chloropsis aurifrons	1		0.1120000034570694
Chlorospingus ophthalmicus	1		0.036809999495744705
Chlorospingus pileatus	3	0.0	0.036809999495744705
Chlorostilbon mellisugus	2	0.013799999840557575	0.10119999945163727
Chlorostilbon notatus	4	0.0015650000423192978	0.04992000013589859
Chordeiles acutipennis	1		0.11230000108480453
Chrysocolaptes lucidus	2	0.0	0.09859000146389008
Chrysolampis mosquitus	4	0.0015579999890178442	0.09317000210285187
Chrysomma sinense	1		0.10890000313520432
Chrysomus icterocephalus	3	0.003085999982431531	0.06026000156998634
Chrysomus thilius	4	0.004621999803930521	0.0616299994289875
Chrysophlegma flavinucha	1		0.09702999889850616
Ciccaba nigrolineata	3	0.0	0.07361999899148941
Ciccaba virgata	2	0.03988000005483627	0.07361999899148941
Cichlopsis leucogenys	2	0.0015650000423192978	0.08919999748468399
Ciconia maguari	4	0.0	0.08281999826431274
Cinclocerthia ruficauda	1		0.05891000106930733
Cinclus pallasii	1		0.11810000240802765
Cinnyris jugularis	1		0.0995199978351593
Circus buffoni	4	0.0	0.07751999795436859
Cissopis leverianus	1		0.0628800019621849
Claravis pretiosa	5	0.004629999864846468	0.09508000314235687
Cnemotriccus fuscatus	2	0.05674999952316284	0.11230000108480453
Cnipodectes subbrunneus	1		0.10119999945163727
Coccycua minuta	3	0.0016129999421536922	0.11060000211000443
Coccyzus cinereus	2	0.0015409999759867787	0.09968999773263931
Coccyzus melacoryphus	2	0.0032099999953061342	0.04755000025033951
Coccyzus minor	1		0.04755000025033951
Cochlearius cochlearius	1		0.10580000281333923
Colaptes campestris	3	0.004600999876856804	0.03734000027179718
Colaptes melanochloros	2	0.0	0.05521000176668167
Colaptes punctigula	1		0.03734000027179718
Colaptes rubiginosus	3	0.0015920000150799751	0.0573199987411499
Colibri delphinae	2	0.0	0.07822000235319138
Colibri thalassinus	1		0.07822000235319138
Colinus cristatus	3	0.0015360000543296337	0.09356000274419785
Collocalia marginata	3	0.0015429999912157655	0.08842000365257263
Collocalia troglodytes	3	0.0	0.08842000365257263
Colonia colonus	2	0.03888000175356865	0.10119999945163727
Columbina minuta	3	0.012380000203847885	0.09508000314235687
Conirostrum bicolor	2	0.0015409999759867787	0.05855000019073486
Conirostrum speciosum	3	0.012760000303387642	0.05855000019073486
Conopias albovittatus	3	0.0031300000846385956	0.0015650000423192978
Conopias parvus	3	0.006885000038892031	0.0015650000423192978
Conopophaga aurita	3	0.0016469999682158232	0.08071999996900558
Conopophaga melanogaster	1		0.08071999996900558
Contopus borealis	1		0.003490000031888485
Contopus cooperi	1		0.003490000031888485
Contopus fumigatus	1		0.07503999769687653
Contopus nigrescens	3	0.001534000039100647	0.08895999938249588
Contopus virens	1		0.08895999938249588
Copsychus luzoniensis	3	0.007716000080108643	0.1023000031709671
Copsychus malabaricus	3	0.001534000039100647	0.10700000077486038
Copsychus saularis	3	0.006535999942570925	0.10289999842643738
Coracias caudatus	3	0.00317499996162951	0.13169999420642853
Coracina coerulescens	1		0.08895999938249588
Coracina papuensis	1		0.06298000365495682
Coracina striata	2	0.0	0.06298000365495682
Corapipo altera	1		0.07822000235319138
Corapipo gutturalis	1		0.07822000235319138
Corvus brachyrhynchos	1		0.06134999915957451
Corvus dauuricus	1		0.08414000272750854
Corvus kubaryi	1		0.06134999915957451
Coryphistera alaudina	2	0.0030670000705868006	0.10740000009536743
Corythopis torquatus	1		0.13040000200271606
Cossypha natalensis	3	0.006579000037163496	0.0625
Cossypha niveicapilla	2	0.0	0.0625
Cotinga cayana	2	0.00317499996162951	0.05397000163793564
Cotinga cotinga	2	0.001534000039100647	0.05397000163793564
Coturnix coturnix	1		0.1565999984741211
Cranioleuca demissa	3	0.0	0.05827999860048294
Cranioleuca sulphurifera	3	0.0030670000705868006	0.035280000418424606
Crax alector	3	0.0015480000292882323	0.009216999635100365
Crax fasciolata	1		0.009216999635100365
Criniger barbatus	3	0.0	0.10580000281333923
Criniger calurus	3	0.09708999842405319	0.10029999911785126
Crypturellus brevirostris	3	0.001534000039100647	0.1379999965429306
Crypturellus cinereus	3	0.003780999919399619	0.15639999508857727
Crypturellus erythropus	1		0.11810000240802765
Crypturellus soui	2	0.004600999876856804	0.12729999423027039
Crypturellus variegatus	3	0.0015800000401213765	0.11810000240802765
Culicicapa ceylonensis	2	0.004600999876856804	0.1103999987244606
Cyanerpes caeruleus	2	0.0031300000846385956	0.052149999886751175
Cyanerpes cyaneus	3	0.010739999823272228	0.06441999971866608
Cyanerpes lucidus	1		0.05530000105500221
Cyanerpes nitidus	1		0.052149999886751175
Cyanocorax affinis	1		0.03220999985933304
Cyanocorax cayanus	3	0.006260000169277191	0.03220999985933304
Cyanocorax morio	1		0.08281999826431274
Cyanoloxia glaucocaerulea	3	0.0030670000705868006	0.08521000295877457
Cyanolyca cucullata	1		0.09201999753713608
Cyanomitra cyanolaema	3	0.009317000396549702	0.08589000254869461
Cyanomitra olivacea	2	0.0016339999856427312	0.08978000283241272
Cyanomitra verticalis	3	0.004807999823242426	0.08589000254869461
Cyanoptila cyanomelana	2	0.001534000039100647	0.10360000282526016
Cyclarhis gujanensis	3	0.08764000236988068	0.09968999773263931
Cymbilaimus lineatus	4	0.01686999946832657	0.10119999945163727
Cyornis rubeculoides	3	0.04447999969124794	0.10119999945163727
Cyphorhinus arada	3	0.001534000039100647	0.07975000143051147
Cyphorhinus phaeocephalus	1		0.07975000143051147
Cypseloides cryptus	1		0.10279999673366547
Cypseloides phelpsi	3	0.0	0.08371999859809875
Dacnis cayana	3	0.0031300000846385956	0.05928000062704086
Dacnis lineata	1		0.05928000062704086
Daptrius americanus	5	0.007668999955058098	0.07514999806880951
Daptrius ater	2	0.001534000039100647	0.02761000022292137
Dasylophus superciliosus	1		0.10740000009536743
Deconychura longicauda	2	0.0	0.09968999773263931
Deconychura stictolaema	3	0.0030720001086592674	0.10890000313520432
Deleornis fraseri	3	0.009201999753713608	0.08895999938249588
Delichon urbicum	2	0.004600999876856804	0.10740000009536743
Dendrocincla merula	1		0.09048999845981598
Dendrocolaptes certhia	1		0.020059999078512192
Dendrocolaptes concolor	1		0.020059999078512192
Dendrocolaptes picumnus	5	0.023010000586509705	0.07716000080108643
Dendrocopos canicapillus	2	0.004600999876856804	0.04907999932765961
Dendrocopos maculatus	1		0.04907999932765961
Deroptyus accipitrinus	2	0.007679999805986881	0.09815999865531921
Dicaeum chrysorrheum	1		0.09091000258922577
Dicaeum concolor	1		0.02761000022292137
Dicaeum eximium	2	0.007668999955058098	0.09670999646186829
Dicaeum pygmaeum	1		0.02761000022292137
Dicrurus adsimilis	3	0.006461999844759703	0.0888499990105629
Dicrurus balicassius	1		0.05837000161409378
Dicrurus hottentottus	2	0.013799999840557575	0.053679998964071274
Dicrurus leucophaeus	3	0.001534000039100647	0.08138000220060349
Dicrurus macrocercus	1		0.08138000220060349
Dicrurus megarhynchus	3	0.009201999753713608	0.053679998964071274
Dicrurus remifer	1		0.07361999899148941
Diglossa major	3	0.001534000039100647	0.09356000274419785
Dinopium shorii	2	0.0	0.07669000327587128
Diopsittaca nobilis	3	0.0015670000575482845	0.09356000274419785
Discosura longicauda	1		0.0030670000705868006
Discosura longicaudus	2	0.0	0.0030670000705868006
Dolospingus fringilloides	3	0.0	0.05790000036358833
Donacobius atricapilla	3	0.0015579999890178442	0.11810000240802765
Donacospiza albifrons	2	0.004784999880939722	0.08771999925374985
Doryfera johannae	4	0.0030670000705868006	0.09662999957799911
Doryfera ludoviciae	1		0.09662999957799911
Drymornis bridgesii	3	0.0	0.07962000370025635
Dryocopus lineatus	2	0.001550000044517219	0.07468000054359436
Dryoscopus cubla	1		0.11289999634027481
Ducula aenea	1		0.0722000002861023
Ducula melanochroa	1		0.0722000002861023
Dumetella carolinensis	1		0.05891000106930733
Dyaphorophyia castanea	3	0.0	0.015359999611973763
Dyaphorophyia tonsa	1		0.015359999611973763
Dysithamnus mentalis	1		0.09201999753713608
Elaenia chiriquensis	3	0.003085999982431531	0.04800000041723251
Elaenia cristata	3	0.00392200006172061	0.10000000149011612
Elaenia flavogaster	3	0.010900000110268593	0.07822000235319138
Elaenia frantzii	3	0.001534000039100647	0.04755000025033951
Elaenia martinica	2	0.001534000039100647	0.06134999915957451
Elaenia pallatangae	4	0.0015899999998509884	0.04755000025033951
Elaenia parvirostris	1		0.07822000235319138
Elaenia ruficeps	3	0.009259000420570374	0.10429999977350235
Elanoides forficatus	2	0.001534000039100647	0.13040000200271606
Electron platyrhynchum	1		0.13609999418258667
Elminia nigromitrata	3	0.004600999876856804	0.11349999904632568
Elvira chionura	3	0.006134999915957451	0.04293999820947647
Emberiza buchanani	2	0.0	0.04822999984025955
Emberiza caesia	2	0.0015409999759867787	0.035440001636743546
Emberiza calandra	2	0.0	0.0
Emberiza cineracea	3	0.0030670000705868006	0.035440001636743546
Emberiza cirlus	3	0.0030670000705868006	0.08281999826431274
Emberiza godlewskii	2	0.001550000044517219	0.07597000151872635
Emberiza melanocephala	4	0.004732000175863504	0.10090000182390213
Emberiza sulphurata	1		0.08371999859809875
Emberizoides herbicola	3	0.007825000211596489	0.052710000425577164
Emberizoides ypiranganus	2	0.009201999753713608	0.052710000425577164
Empidonax oberholseri	2	0.0	0.10350000113248825
Empidonax virescens	2	0.0	0.08675999939441681
Empidonomus varius	2	0.001534000039100647	0.02208000048995018
Enicurus immaculatus	2	0.0031999999191612005	0.1120000034570694
Eopsaltria australis	1		0.1103999987244606
Epinecrophylla fulviventris	3	0.0	0.07287000119686127
Epinecrophylla gutturalis	5	0.0030670000705868006	0.08128999918699265
Epinecrophylla ornata	3	0.0030670000705868006	0.07287000119686127
Erythrogenys erythrogenys	1		0.1103999987244606
Erythropitta erythrogaster	3	0.030719999223947525	0.1151999980211258
Erythrura trichroa	1		0.09984999895095825
Eubucco bourcierii	2	0.001534000039100647	0.1395999938249588
Eudocimus ruber	1		0.1120000034570694
Eudynamys scolopaceus	1		0.10450000315904617
Eulampis holosericeus	1		0.02913999930024147
Eulampis jugularis	2	0.0	0.02913999930024147
Euphagus carolinus	1		0.05186000093817711
Eupherusa eximia	3	0.0	0.024539999663829803
Eupherusa nigriventris	2	0.0	0.024539999663829803
Euphonia anneae	3	0.0	0.06594999879598618
Euphonia cayennensis	2	0.0030670000705868006	0.07055000215768814
Euphonia chrysopasta	1		0.09048999845981598
Euphonia elegantissima	1		0.09627000242471695
Euphonia finschi	3	0.0015869999770075083	0.020309999585151672
Euphonia gouldi	3	0.0030670000705868006	0.07208999991416931
Euphonia laniirostris	2	0.0	0.0719899982213974
Euphonia luteicapilla	2	0.0015950000379234552	0.020309999585151672
Euphonia minuta	1		0.0829399973154068
Euphonia plumbea	3	0.001534000039100647	0.05714000016450882
Euphonia violacea	3	0.0031300000846385956	0.0719899982213974
Euphonia xanthogaster	4	0.0030670000705868006	0.06594999879598618
Euplectes axillaris	1		0.11810000240802765
Eupsittula aurea	1		0.06758999824523926
Eupsittula nana	2	0.0	0.06758999824523926
Eupsittula pertinax	4	0.0030819999519735575	0.07208999991416931
Eurillas virens	3	0.013799999840557575	0.10580000281333923
